loss,accuracy,val_loss,val_accuracy
0.06292889267206192,0.9835625290870667,0.012796242721378803,0.9970312714576721
0.00956187304109335,0.9976562261581421,0.007344305049628019,0.9980000257492065
0.006601558066904545,0.9982812404632568,0.005696335341781378,0.9984062314033508
0.005216882564127445,0.9985937476158142,0.004565026611089706,0.9988750219345093
0.004472942091524601,0.9987812638282776,0.003885499434545636,0.9989687204360962
0.003881382290273905,0.9989687204360962,0.003429868957027793,0.9991875290870667
0.003467986825853586,0.9990312457084656,0.0031114020384848118,0.9992812275886536
0.0031704269349575043,0.9991875290870667,0.0028517532628029585,0.9994062781333923
0.0028849411755800247,0.9994375109672546,0.0026307294610887766,0.9994375109672546
0.0026878234930336475,0.9994062781333923,0.002450383035466075,0.9994999766349792
